shop,health_facility:type,office,healthcare:speciality,indoor,payment:cash,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,addr:housenumber,name:de,source,location,building:roof:colour,fax,roof:colour,contact:postcode,emergency,ref:FR:SIREN,ref:FR:SIRET,historic,FID,addr:street,bmo:type,source:name,fixme,name:en,contact:fax,addr:city,wheelchair:description,payment:debit_cards,type:FR:FINESS,addr:postcode,roof:material,level,payment:credit_cards,roof:orientation,source:geometry:date,payment:mastercard,amenity_1,amenity_2,payment:american_express,wheelchair:step_height,source:addr,payment:maestro,operational_status,access,payment:cheque,ref,email,barrier,contact:email,name:br,roof:shape,building:use,wall,source:geometry,source:building,health_person:type,health_specialty:radiology,toilets:wheelchair,massage,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,alt_name,building:roof:shape,contact:country,operator,railway:historic,contact:city,short_name,area,opening_hours,contact:phone,addr:housename,name,whc:inscription_date,heritage,type,start_date,website,noname,contact:housenumber,source:date,phone,health_specialty:allergology,official_name,old_name,smoking,opening_hours:signed,room,source:version,disused:name,buildingpart,dispensing,ref:FR:NAF,wheelchair,amenity,operator:type,addr:unit,ref:whc,payment:notes,source:addr:version,medical_system:western,doctor,building:levels,note,name:fr,contact:street,description,building:material,note:fr,addr:full,payment:visa,lat,reservation,building,building:colour,payment:coins,roof:levels,addr:place,healthcare,disused:railway,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0535741,,,,,,,,,,,,,,,,"Maison médicale (médécin, pharmacien, dentiste, ...)",,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.8330019,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0068440,,,,,,,,,,,,,,,,Maison médicale André Aweng,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.2239110,,yes,,,,,yes,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3648655,,,,,,,,,,,,,,,,Maison médicale Marzet,,,,,http://www.pole-marzet.fr/maison_medicale/,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3044043,,hospital,,,,,,,,,
,,,,,,,,,24,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,Rue de la Porte de France,,,,,,Morhange,,,,57340,,,,,,,,,,,,,,,,,centremedicalpasteur@orange.fr,,,,,,,,,,,,,,6.6326033,,,,,,,,,,,,,,,,Maison médicale Pasteur,,,,,,,,,+33 3 87 86 33 33,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,48.9238681,,yes,,,,,,,FR,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0753620,,,,,,,,,,,,,,,,Maison médicale Sainte-Marie,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.0754700,,yes,,,,,centre,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1911720,,,,,,,,,,,,,,,,Maison médicale de Bavent,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.2318490,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7666487,,,,,,,,,,,,,,,,Maison médicale de Beausoleil,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.1473937,,yes,,,,,doctor,,,,
,,,general;kiné,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Émilien Fillon,,,,,,Gençay,,,,86160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067128,,,,,,,,,,,,,,,,Maison médicale de Gençay,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.3750506,,yes,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3820769,,,,,,,,,,,,,,,,Maison médicale de Goetzenbruck,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9915718,,house,,,,,,,,,
,,,general;dentistry;orthopaedics;orthodontics,,,,,,,Ärztezentrum Mombronn,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue Notre-Dame,,,,,,Montbronn,,,,57415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3053266,,,,,,,,,,,,,,,,Maison médicale de Montbronn,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9934169,,house,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7687631,,,,,,,,,,,,,,,,Maison médicale de Oisemont,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.9585749,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1057080,,,,,,,,,,,,,,,,Maison médicale de Rieux,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.5979690,,yes,,,,,,,,,
,,,,,,,,,99,,Bing + balade,,,,,,,,,,,Avenue de Saint-Louis,,,,,,Marseille,,,,13015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3585815,,,,,,,,,,,,,,,,Maison médicale de Saint-Louis,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.3464370,,,,,,,,,,,
,,,,,,,,,12,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue Louis Pasteur,,,,,,Retiers,,,,35240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3795970,,,,,,,,,,,,,,,,Maison médicale de garde,,,,,,,,,+33299434445,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.9123180,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2832870,,,,,,,,,,,,,,,,Maison médicale de garde,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.3415310,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1009330,,,,,,,,,,,,,,,,Maison médicale de garde,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.3398300,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3671740,,,,,,,,,,,,,,,,Maison médicale de garde,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5648380,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2056810,,,,,,,,,,,,,,,,Maison médicale de garde du pays de Vitré,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,48.1245970,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4257840,,,,,,,,,,,,,,,,Maison médicale de l'Octroi,,,,,https://www.senioriales.com/,,2,,,,,,,,,,,,,,,doctors,,,,,,,,,,,Place de l'Octroi,,,,,,43.2814250,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5655720,,,,,,,,,,,,,,,,Maison médicale de la Mortagne,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.4450250,,yes,,,,,centre,,,,
,,,,,,,,,37,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2016,,,,,,,,,,,Route de Candé,,,,,,Les Montils,,,,41120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2926040,,,,,,,,,,,,,,,,Maison médicale des Montils,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.4951032,,yes,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4617770,,,,,,,,,,,,,,,,Maison médicale des bords de Seille,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.7471470,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9799990,,,,,,,,,,,,,,,,Maison médicale du Breuil,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.3951590,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9061740,,,,,,,,,,,,,,,,Maison médicale du vieux moulin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,Maison médicale,,,,,48.4024620,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6861830,,,,,,,,,,,,,,,,Maison médicale du vieux puits,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.2344590,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3015159,,,,,,,,,,,,,,,,Maison médicale oucquoise,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.8232514,,yes,,,,,centre,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.6201395,,,,,,,,,,,,,,,,Maison médicale spécialisée des Abers,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.4301835,,yes,,,,,,,,,
,,,,,,,,,14a,,,,,,,,,,,,,Rue de Brest,,,,,,Rennes,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6890568,,,,,,,,,,,,,,,,"Masseur-kinésithérapeute, pédiatre, podologue",,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.1126212,,yes,,,,,physiotherapist,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,roof_tiles,,,along,,,,,,,,,,,,,,,,,gabled,,,,,,,,,,2.1953634,,,,,,,,,,,,,,,,Masso-kinésithérapie,,,,,,,,,+33147247586,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.8938786,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3650350,,,,,,,,,,,,,,,,Medecin generaliste Darrieumerlou,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.6858121,,,,,,,doctor,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.0330655,,,,,,,,,,,,,,,,Medical Center,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,18.0718511,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2456850,,,,,,,,,,,,,,,,Medical center,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.4599910,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8750913,,,,,,,,,,,,,,,,Michel Bersin,,,,,,,,,+33 2 35 37 50 11,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.4832353,,yes,,,,,doctor,,,,
,,,general,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,Rue du Frohnacker,,,,,,Soultz-sous-Forêts,,,,67250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8849480,,,,,,,,,,,,,,,,Michel LADOUCE,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9371310,,yes,,,,,doctor,,,,
,,,,,,,,,1,,,,,,,,,,,,,Rue du Professeur Philippe Maupas,,,,,,,,,,41260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3414977,,,,,,,,,,,,,,,,Mosaïque Santé,,,,,http://mosaïquesante.com,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,Maison de Santé Pluridisciplinaire,,,,,47.6165410,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7987386,,,,,,,,,,,,,,,,Mousset Marie-France,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.2574609,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,6.0744650,,,,,,,,,,,,,,,,Mèdecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.2962430,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0744860,,,,,,,,,,,,,,,,Mèdecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.2962280,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0744200,,,,,,,,,,,,,,,,Mèdecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.2960120,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3906881,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.7288245,,yes,,,,,,,,,
,,,,,,,,,1,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Chemin des Épaisses,,,,,,Pierrefontaine-les-Varans,,,,25510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5368010,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2175360,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6548436,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,42.7685086,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0428660,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.2313590,,yes,,,,,doctor,,,,
,,,general,,,,,,3,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue de l'Étang,,,,,,Vercel-Villedieu-le-Camp,,,,25530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3946341,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1817185,,yes,,,,,doctor,,,,
,,,,,,,,,23,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue du Grand Communal,,,,,,Bonnétage,,,,25210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7228710,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1850930,,yes,,,,,,,,,
,,,general,,,,,,82,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Avenue de Lattre de Tassigny,,,,,,Le Russey,,,,25210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7234930,,,,,,,,Rogé Yves,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1594960,,yes,,,,,doctor,,,,
,,,general,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue Pasteur,,,,,,Valdahon,,,,25800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3445180,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1522060,,yes,,,,,doctor,,,,
,,,,,,,,,4,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue du Belmont,,,,,,Pierrefontaine-les-Varans,,,,25510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5418120,,,,,,,,,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2150900,,yes,,,,,doctor,,,,
,,,,,,,,,15,,,,,,,,,,,,,Grande Rue,,,,,,Avoudrey,,,,25690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4345035,,,,,,,,La commune,,,,,,,,Médecin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.1384540,,yes,,,,,doctor,,,,
,,,general,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4628132,,,,,,,,,,,,,,,,Médecin Généraliste,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.9407626,,yes,,,,,doctor,,,,
,,,,,,,,,24,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,N 13,,,,,,Sainte-Colombe-la-Commanderie,,,,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9381536,,,,,,,,Liana Savescu,,,,,,,,Médecin Généraliste,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,49.1025935,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8932940,,,,,,,,,,,,,,,,Médecin Nathalie Creuze,,,,,,,,,+33 2 43 05 94 87,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.2878530,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,operational,,,,,,,,,,,Satellite photogrammetry,,,,,,,-149.3239675,,,,,,,,,,,,,,,,Médecin généraliste,,,,,,,,2015/12/07,,,,,,,,,,,,,,doctors,private,,,,,,,,,,,,hard,,,,-17.7281184,,yes,,,,,,,,,
,,,,,,,,,49,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4026020,,,,,,,,,,,,,,,,Médecine Générale,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.3846870,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3828747,,,,,,,,,,,,,,,C4,Médecine Préventive,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5641160,,yes,,,,,doctor,,,,
,,,,,,,,,23,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Avenue des Floralies,,,,,,Guérande,,,,44350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3988420,,,,,,,,,,,,,,,,Médecine du Travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2908810,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7074708,,,,,,,,,,,,,,,,Médecine du Travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.1145712,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1327751,,,,,,,,,,,,,,,,Médecine du Travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,45.6423576,,yes,,,,,,,,,
,,,,,,,,,13,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,778 713 123 00124,,,Rue Gustave Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8765407,,,,,,,,,,,,,,,,Médecine du Travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,Médecine du travail,,,,,,,,47.6410653,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4690690,,,,,,,,,,,,,,,,Médecine du Travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.0943160,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,,4.9238216,,,,,,,,,,,,,,,,Médecine du Travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,44.9310491,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6108841,,,,,,,,,,,,,,,,Médecine du travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.1790388,,public,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1976140,,,,,,,,,,,,,,,,Médecine du travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.0282840,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0819272,,,,,,,,,,,,,,,,Médecine du travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.0198672,,yes,,,,,,,,,
,,,,,,,,,5,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue d'Horsham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2049225,,,,,,,,,,,,,,,,Médecine du travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.4195742,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7006620,,,,,,,,,,,,,,,,Médecine du travail,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,49.7373160,,yes,,,,,doctor,,,,
