health_facility:type,healthcare_1,name:cy,healthcare:speciality,building:part,indoor,payment:debit_cards,clinic,health_specialty:traditional_chinese_medicine,postcode,smoking,is_in,addr:housenumber,source:addr:housenumber,addr:state,pharmacy,source,health_specialty:physiotherapy,addr:village,fhrs:local_authority_id,fax,emergency,source:name,leisure,source:area,wikimedia_commons,addr:street,payment:bitcoin,fixme,name:en,contact:fax,name,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,HE_ref,postal_code,health_specialty:general_practice,health_specialty:podiatry,amenity_1,operator,full_name,loc_name,source:addr,power,access,fhrs:authority,generator:output:electricity,ref,email,building:height,barrier,contact:email,addr:province,fhrs:id,roof:shape,building:use,source:geometry,addr:city,source:building,toilets:wheelchair,health_specialty:orthopaedics,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,lat,alt_name,nhs,generator:source,fee,addr:floor_1,addr:floor_2,area,opening_hours,contact:phone,addr:housename,heritage,website,addr:unit,listed_status,telephone,phone,old_name,source:outline,generator:type,room,dispensing,landuse,roof:levels,amenity,source:shape,operator:type,out-of-hours,addr:suburb,building:min_level,generator:method,wikidata,source:postcode,health_specialty:cardiology,verified,building:levels,image,note,FIXME,description,building:material,health_specialty:acupuncture,last_check,min_height,levels,toilets,addr:county,source:addr:postcode,building,building:colour,medical_system:chinese,website_3,website_2,website_1,name:gd,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,,,,,,,,11,,,,,,,,,,,,,,London Road,,,,,St Albans Medical Centre,,AL1 1LA,,,,,,,,,,,,,,,,,,contact@stalbansmedicalcentre.com,,,,,,,,,St Albans,,,,,-0.3379611,,,,,51.7507717,,,,,,,,,,The White House,,http://www.stalbansmedicalcentre.com/,,,,+44 1727 812925,,,,,,,,clinic,,,,,,,Q26397169,,,,,,Also provides Parfitt Podiatry and Healthy Hands clinics,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Urswick Road,,,,,St Albans Surgery,,RM9 6EA,,,,,,,,,,,,,,,,,,,,,,,,,,,Dagenham,,,,,0.1335101,,,,,51.5369206,,,,,,,,"Mo,We,Fr 08:30-18:30; Tu 08:30-20:00; Th 08:30-13:30; Sa,Su off",,Urswick Medical Centre,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Andrew's Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3413273,,,,,53.4851696,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,OS_Opendata_StreetView auto-trace (Tom Chance),,,,,,,,,,,,,,,St Giles CMHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0836412,,,,,51.4743444,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,no,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Ives Clinic,,PE27 5RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0774489,,,,,52.3276183,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,572,,,,,,,,,,,,,,Burton Road,,,,,St Luke's Medical Consulting,,DE23 6DG,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,-1.5062376,,,,,52.9059830,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,49,,,,,,,,,,,,,,High Street,,,,,Standish Medical Practice,,WN6 0HD,,,,,,,,,,,Standish Clinic,,,,,,,,,,,,,,,,Standish,,,,,-2.6620188,,,,,53.5851667,,,,,,,,,,,,,,,,+44 1257421909,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,Gordon Street,,,,,Stanhope Parade Medical Centre,,NE33 4JP,,,,,,,,,,,,,,,,,,,,,,,,,,,South Shields,,,,,-1.4320438,,,,,54.9853113,,,,,,,,Mo 08:00-18:45; Tu 13:00-15:00; We 08:00-18:45; Th 13:45-16:00; Fr 13:30-16:00; Sa 10:30-12:00,,Stanhope Parade Medical Centre,,http://chichesterpractice.nhs.uk/,,,,+44 191 283 2525,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,
,,,,,,,,,,,,1-3,,,,,,,,,,,,,,Stanley Close,,,,,Stanley Corner Medical Centre,,HA0 4JF,,,,,,,,,,,,,,,,,,,,,,,,,,,Wembley,,,,,-0.2966922,,,,,51.5442554,,,,,,,,,,,,,,,,+44 20 8902 3887,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,Station Medical Centre,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,-3.3070263,,,,,57.7111561,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,OS_OpenData_StreetView,,,,,,,,,,Reservoir Road,,,,,Stockland Green Primary Care Centre,,B23 6DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,-1.8577165,,,,,52.5240609,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stokesley Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1949975,,,,,54.4712140,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Carlton Road,,,,,Stonebridge Centre,,NG3 2FH,,,,,,,,,NHS,,,,,,,,,,,,,,,,,,,,,,,-1.1295009,,,,,52.9578147,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,no,,5-11,,,,,,,,,,,,,,Stormont Road,,,,,Stormont Health Clinic,,SW11 5EG,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.1559820,,,,,51.4649632,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,no,,,,,,,,,,,,,,,,,,,,,,Main Street,,,,,Strabane Health Centre,,BT82 8AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4613307,,,,,54.8245295,,,,,,,,Mo-Fr 08:30-18:00,,Health Centre,,http://www.familypracticestrabane.co.uk,,,,028 71384114,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,brown,,,,,,,,,,clinic,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strand Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9930800,,,,,53.4539429,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,general,,,,,,,,,50C,,,,,,,,,,,,,,Romford Road,,,,,Stratford Village Surgery,,E15 4BZ,,,,,,,,,First 4 Health Group,,,,,,,,,,,,,,,,,,"Stratford, London",,,,,0.0069105,,,,,51.5422040,,,,,,,,Mo-Fr 08:00-18:30; Sa 09:00-13:00; Mo; Th 18:30-21:00,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general_practitioner,,
,,,,,,,,,,,,12-14,,,,,,,,,,,,,,Upper Tollington Park,,,,,Stroud Green Clinic,,,,,,,,,,,British Pregnancy Advisory Service,,,,,,,,,,,,,,,,,,,,,,,-0.1098734,,,,,51.5690201,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudbury Primary Care Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3169395,,,,,51.5587202,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,"Please check that whole builidng is the health centre. Yes, whole building is Sudbury Primary Care Centre (Jan 2015).",,,,,,,,,,,hospital,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Finedon,,,,,,,,Summerlee Road,,,,,Summerlee Medical Centre,,NN9 5LJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Wellingborough,,,,,-0.6533827,,,,,52.3372653,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,Surrey,,,,,,,,,,,,Green Street,,,,,Sunbury Health Centre,,TW16 6RH,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunbury on Thames,,,,,-0.4190315,,,,,51.4129924,,,,,,,,,,,,http://www.sunburyhealthcentre.co.uk/,,,,+44 1932 713399,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,,,,,,542,,,,,,,,,,,,,,Burnley Road,,,,,Sunnyside Clinic,,BB4 8NE,,,,,,,,,,,,,,,,,,,,,,,,,,,Rossendale,,,,,-2.2881335,,,,,53.7234987,,,,,,,,,,,,sunnyside-clinic.co.uk,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,OS_Opendata_StreetView auto-trace (Tom Chance),,,,,,,,,,,,,,,Sunshine House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0833908,,,,,51.4739068,,,,,,,,,,,,https://www.guysandstthomas.nhs.uk/our-services/community/southwark/sunshine-house.aspx,,,,,,,,,,,,clinic,,,,,,,,,,no,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplefeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0795717,,,,,51.6516953,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sussex Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1940597,,,,,50.8309484,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,14a,,,,,,,,,,,,,,West End,,,,,Swanland Physiotherapy Clinic,,HU14 3PF,,,,,,,,,,,,,,,,,,,,,,,,,,,Swanland,,,,,-0.4927234,,,,,53.7380360,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,Islington Street,,,,,Swindon Health Centre,,SN1 2DQ,,,,,,,,,,,,,,,,,,,,,,,,,,,Swindon,,,,,-1.7815329,,,,,51.5620524,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,4,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,Clinig Talbot Green,,,,,,,,,,,,,,Bing;survey,,,,,,,,,,,,,,,Talbot Green Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3827838,,,,,51.5363002,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Fifth Avenue,,,,,Tang Hall Clinic,,YO31 0PR,,,,,,,,,,,,,,,,,,,,,,,,,,,York,,,,,-1.0495656,,,,,53.9603523,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tebay Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5918369,,,,,54.4344055,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,podiatry,,,,,,,,,11,,,,,,,,,,,,,,Priory Street,,,,,Teifi Foot Clinic,,SA43 1BU,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardigan / Aberteifi,,,,,-4.6590375,,,,,52.0835996,,,,,,,,,,,,https://teifi-foot-clinic.co.uk/,,,,+44 1239 621343,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetbury Osteopaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1616326,,,,,51.6398263,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,84,,,,bing,,,,,,,,,,Tettenhall Road,,,,,Tettenhall Road Chiropractic Clinic,,WV1 4TF,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolverhampton,,,,,-2.1491791,,,,,52.5901169,,,,,,,,,,,,http://tettenhallchiropractic.co.uk,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thames View Health Centre,,IG11 0LG,,,,,,,,,Barking & Dagenham NHS,,,,,,,,,,,,,,,,,,,,,,,0.1038123,,,,,51.5280997,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,centre,,
,,,,,,,,,,,,198,,,,,,,,,,,,,,Cheltenham Road,,,,,The Arches Therapy Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5919531,,,,,51.4684898,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,1,,,,,,,,,,,,,,The Avenue,,,,,The Avenue Surgery,,BN2 4GF,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton,,,,,-0.1137972,,,,,50.8455848,,,,,,,,,,,,,,,,+44 1273604220,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Barfield Road,,,,,The Barfield Road Clinic,,CO5 8QT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9138459,,,,,51.7785534,,,,,,,,,,The Barfield Road Clinic,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,
,,,,,,,,,,,,121,,,,,,,,,,,,,,Westferry Road,,,,,The Barkantine,,E14 8JH,,,,,,,,,Tower Hamlets Primary Care Trust,,,,,,,,,,,,,,,,,,London,,,,,-0.0257738,,,,,51.4983383,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,33a,,,,,,,,,,,,,,High Street,,,,,The Beehive,,BS31 1DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4984379,,,,,51.4163379,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,Shakespeare Road,,,,,The Bermuda and Marlowe Practice,,RG24 9DT,,,,,,,,,,,,,,,,,,,,,,,,,,,Basingstoke,,,,,-1.0843119,,,,,51.2802023,,,,,,,,,,Shakespeare House Health Centre,,http://www.bermudapractice.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,102,,,,,,,,,,,,,,Blakesley Road,,,,,The Blakesley Centre,,B25 8RN,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,-1.8111318,,,,,52.4733346,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,,,,,,,,,,,,,,Redcliffe Parade East,,,,,The Bristol Talking Therapy Rooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,-2.5915289,,,,,51.4482313,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,Redcliffe,,,,,,,3,,,,,,,,,,,,,house,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Brook Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1850511,,,,,51.0496763,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Brundall Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4327018,,,,,52.6243930,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,The Burngreave Surgery - Cornerstone Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4586122,,,,,53.3926303,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,147,,,,survey;Bing;website,,,,,,,,,,Balcombe Road,,,,,The Carlton Clinic,,,,,,,RH6 9BX,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1543617,,,,,51.1672825,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,Check exact position.,,,,,,,,,,yes,,,,,,,http://www.carlton-clinic.net/,,,,,,
,,,,,,,,,,,,21,,,,,,,,,,,,,,Chandos Road,,,,,The Chandos Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6061463,,,,,51.4679144,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,60,extrapolation;OS 1:1250 map dated 1953,,,,,,,,,,,,,Bloomsbury Street,,,,,The Child and Family Practice,,,slate,,,,,,,,,,,,,,,,,,,,,,,gambrel,,,London,,,,,-0.1283929,,,,,51.5189863,,,,,,,,,,,,http://www.tcfp.org.uk/,,,,,,,,,,,1,clinic,,,,,,,,,,,3,,,,,brick,,,,,,,,yes,brown,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Chinese Herbal Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9759442,,,,,51.3494596,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,33,,,,,,,,,,,,,,Alma Vale Road,,,,,The Chiropractic Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6140491,,,,,51.4624603,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Churchill Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4805421,,,,,51.2957028,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Clacton Ostopath Clinic,,CO15 6PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,1.1582777,,,,,51.7916393,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,8-10,,,,,,,,,,,,,,Whiteladies Road,,,,,The Clifton Practice,,BS8 1PD,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol,,,,,-2.6091858,,,,,51.4589750,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,Clifton,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Leam Street,,,,,The Cloisters,,CV31 1DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Leamington Spa,,,,,-1.5229238,,,,,52.2866592,,,,,,,,,,The Cloisters,,https://www.thecloisters.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,Physiotherapy & Sports Injury Clinic,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Coast Resource Centre,,,,,,,,,,,Avon & Wiltshire Mental Health Partnership NHS Trust,,,,,,,,,,,,,,,,,,,,,,,-2.9098775,,,,,51.3565727,,,,,,,,Mo-Fr 09:00-17:00,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,endocrinology,,,,,,,,,,,,,OS_OpenData_StreetView,,,,,,,,,,,,,,,The David Anderson Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1406825,,,,,57.1551756,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,DigitalGlobe-Premium,,,,,,,,,,Barton Road,,,,,The Devereux Centre,,GL20 5GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,Tewkesbury,,,,,-2.1538806,,,,,51.9924351,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,http://www.thedevereuxcentre.co.uk/,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Drayton Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0449031,,,,,50.8463856,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NLS_OS_Edinburgh_map_1940s;Bing,,,,,,,,,,,,,,,The Edinburgh Clinic,,,,,,,,,,,Aspen Healthcare,,,,,,,,,,,,,,,,,,,,,,,-3.2267148,,,,,55.9298560,,,,,,,,,,,,https://www.aspen-healthcare.co.uk/edinburgh-clinic/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NLS_OS_Edinburgh_map_1940s;Bing,,,,,,,,,,,,,,,The Edinburgh Clinic,,,,,,,,,,,Aspen Healthcare,,,,,,,,,,,,,,,,,,,,,,,-3.2257061,,,,,55.9297606,,,,,,,,,,,,https://www.aspen-healthcare.co.uk/edinburgh-clinic/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,osteopath,,,,,116,,,,,,,,,,,,,,Gloucester Road,,,,,The Family Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5910910,,,,,51.4759922,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,26,,,,survey,,,,,,,,,,Low Hall Lane,,,,,The Ferguson Centre,,E17 8BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0313739,,,,,51.5777920,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,Walthamstow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,GB,
,,,,,,,,,,,,26,,,,,,,,,,,,,,Stephenson Road,,,,,The Firs Medical Centre,,E17 7JT,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.0351877,,,,,51.5801388,,,,,,,,,,,,http://www.thefirs.org.uk/,,,,,,,,,,,,clinic,,,,Walthamstow,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,osteopathy,,,,,834,,,,,,,,,,,,,,Fishponds Road,,,,,The Fishponds Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5265444,,,,,51.4814873,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Venice Avenue,,,,,The Fold,,BB11 5JX,,,,,,,,,,,,,,,,,,,,,,,,,,,Burnley,,,,,-2.2662874,,,,,53.7815808,,,,,,,,,,,,nhs.uk,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Foot Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4525041,,,,,51.5107526,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,19,,,,,,,,,,,,,,Cannon Street,,,,,The Foot Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6015208,,,,,51.4413301,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,4,,,,survey,,,,,,,,,,Macdonald Road,,,,,The Forest Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walthamstow,,,,,-0.0051743,,,,,51.5948084,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Forge Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3040112,,,,,51.4598979,,,,,,,,,,,,https://www.theforgeclinic.com/,,,,,,,,,,,,clinic,,,,,,,,,,,1,,,,,,,,,,,,,yes,,,,,,,,,,,alternative,,
,,,,,,,,,,,,72-74,,,,,,,,,,,,,,Anglesea Road,,,,,The Freya Centre,,SO15 5QS,,,,,,,,,,,,,,,,,,,,,,,,,,,Southampton,,,,,-1.4338310,,,,,50.9261680,,,,,,,,,,The Freya Centre,,https://www.wessexfertility.com/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,Unit 2,,,,,,,,,,,,,,St. Paul's Road,,,,,The Great Health Clinic,,N1 2SY,,,,,,,,,,,,,,,,,,,,,,,,,,,London,,,,,-0.0918867,,,,,51.5469702,,,,,,,,,,Upper Handa Walk,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,
